P_G,Q_G,P_L,Q_L,r_line,x_line,P_line,Q_line,V
"[0.14328802385208556, 0.08889023363187468]","[0.15471277029657052, 0.32956453865206603]",[0.35683739 0.28916613 0.36703281],[0.30657516 0.38087163 0.18194962],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4399885505260954, 0.48408916957419024, 0.04408495118132214]","[0.10162452033682712, -0.02296652055792947, -0.12458531391845871]","[1.0, 0.9999196000345488, 0.999945238159114]"
"[0.356193988950059, 0.3272120983134625]","[0.8366063498072157, 0.3769754014000124]",[0.23179717 0.27094543 0.32278274],[0.18304964 0.27799205 0.4152742 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.19171651144370117, 0.2186405673057834, 0.026944310386790724]","[-0.3596025545757584, -0.16064294930174583, 0.19897022319798652]","[1.0, 1.000065940387725, 1.0000128334594482]"
"[0.5001174776101845, 0.17270252121106602]","[-0.8226336709864686, 0.21752719334881257]",[0.2778751  0.23797616 0.28733737],[0.33222025 0.39783729 0.38237506],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.11353376642682633, 0.23911371560893713, 0.1255791240173522]","[0.868793711759281, 0.516833024601965, -0.35186917342894597]","[1.0, 0.9997686130692864, 0.9998409025410439]"
"[0.18047743141673095, 0.20949746751834752]","[-0.09603306390761121, -0.03431019103693669]",[0.39949899 0.12975664 0.23595815],[0.17047237 0.41007357 0.22736137],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.22503221021861464, 0.2507600500471199, 0.02572412605794354]","[0.4246860586645198, 0.3431968726440573, -0.08147832359500227]","[1.0, 0.999865699464089, 0.9998828559714359]"
"[0.140294648278327, 0.10350842069794608]","[-0.16706313548467833, -0.8484050570222992]",[0.30160492 0.20053015 0.34430441],[0.22583255 0.40425174 0.18609145],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.37051437394802633, 0.43072364320846646, 0.06019584664493825]","[0.7258900220363103, 0.880334411415788, 0.1544090950494425]","[1.0, 0.9997722131995382, 0.9997260759445327]"
"[0.3840579635406652, 0.20130188145172404]","[-0.9144653809376903, 0.07723561465309171]",[0.1427591  0.20832684 0.45864962],[0.3954826  0.2535844  0.35136515],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.21871289378259462, 0.3630754889036325, 0.1443433657730918]","[0.8702849195879026, 0.5722379412686678, -0.2979661724485032]","[1.0, 0.9997550911225435, 0.9998115562636767]"
"[0.43110197261106525, 0.48955434472144815]","[0.7139010003109, 0.5194315463687216]",[0.15516047 0.42597434 0.48842093],[0.37042415 0.10798277 0.26162611],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.24624254401987855, 0.24756078479435928, 0.0013326077654940765]","[-0.48980917971357485, -0.3737857375076601, 0.116033916441687]","[1.0, 1.000091679514532, 1.0000625072343456]"
"[0.01429550260880914, 0.5417082444028154]","[0.16217229707739858, 0.3799833832651736]",[0.19473787 0.42432064 0.39962781],[0.17252506 0.30597595 0.16036668],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4760141571487111, 0.291976867582207, -0.18403936864190923]","[0.02272310528178423, -0.09844349836839683, -0.12113732735098841]","[1.0, 0.9999348242014147, 0.999988117404203]"
"[0.5808287252940268, 0.15428508218621848]","[-0.4186024768848643, -0.15664789600761622]",[0.48891241 0.41372243 0.28771256],[0.2753895  0.112611   0.21120819],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.18310019678460776, 0.28328755667143923, 0.10017387683679735]","[0.47683017644794745, 0.42237252620043364, -0.05444852662072616]","[1.0, 0.9998579050269203, 0.9998589960863452]"
"[0.9074096966515613, 0.3721071717383305]","[-0.29281276264747097, -0.25154077700292726]",[0.44722056 0.21493625 0.28197553],[0.21581107 0.20433763 0.26686566],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.24166084089051765, -0.04086720609529948, 0.20077351152321946]","[0.5043211948877797, 0.5113897042983808, 0.007092620783949843]","[1.0, 0.9999041349277329, 0.9998772637234328]"
"[0.010352199777167158, 0.300204679857329]","[0.1186595254683324, -0.6672016275846644]",[0.13102721 0.13524416 0.36358304],[0.13028242 0.22392177 0.32928518],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3544449091320985, 0.3339475573939126, -0.020482998800850964]","[0.40242840637301924, 0.6995649461855464, 0.2970942661556667]","[1.0, 0.9998550880186106, 0.9997833653266168]"
"[0.4287260847974057, 0.7005628514926923]","[-0.38154263946334144, 0.07910141049820416]",[0.15721635 0.11973946 0.29140401],[0.49051455 0.4381151  0.34214829],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.09232463819785153, -0.12573790117676253, -0.03338935651159846]","[0.6342182551215956, 0.4486522174188394, -0.18554217702977926]","[1.0, 0.9998529912553898, 0.9999035580131872]"
"[0.3155161183260352, 0.07100722685536305]","[-0.05896102594584184, -0.5883838688506888]",[0.23075821 0.39162831 0.40431386],[0.11449906 0.26973049 0.31326757],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4119107661392718, 0.49766265139760435, 0.08574358639599482]","[0.5198052273135545, 0.7108468968649504, 0.19100374817530785]","[1.0, 0.9998185605696127, 0.9997600810767604]"
"[0.11107296541909806, 0.16299236949725895]","[-0.23607323469120392, -0.3178836049602527]",[0.32706484 0.44973974 0.26166957],[0.44807525 0.37906417 0.13488052],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.5087412251230035, 0.4287307369481823, -0.07999726411107841]","[0.5611513131430002, 0.5070061916844679, -0.05412951841547126]","[1.0, 0.9997961211457658, 0.9998196580696561]"
"[0.14101677767360657, 0.04973625377394526]","[-0.28965812295907245, -0.10580870202195355]",[0.41726595 0.4426281  0.32567578],[0.3224116  0.1115503  0.48310581],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.5431223431946819, 0.5345631489851712, -0.008552752161634284]","[0.46390578193268084, 0.5264864333307742, 0.06256981073777833]","[1.0, 0.9998161362879999, 0.9998015602989541]"
"[0.04250758717236506, 0.21541942282155882]","[0.20286076916415074, 0.050345159164259926]",[0.10408698 0.39078956 0.15006551],[0.44133469 0.31547628 0.11483542],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.46043040328299867, 0.322541552628536, -0.13787923831480856]","[0.09662663998142307, 0.08056691438605412, -0.016044206760058993]","[1.0, 0.9999182948475431, 0.9999395430671515]"
"[0.03988552016958158, 0.08662022440580489]","[-0.08646766636149009, 0.021391556856825485]",[0.44926939 0.13982791 0.4103193 ],[0.48259716 0.4332444  0.4012668 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.42457492664925667, 0.4991719184674821, 0.0745820174361835]","[0.47320522523659747, 0.42659285185163753, -0.04660789081696492]","[1.0, 0.9998286279322235, 0.9998309578515603]"
"[0.2824612114627014, 0.369904916475906]","[-0.6228129084042989, -0.8361907765191129]",[0.33043914 0.40516808 0.48050802],[0.46377097 0.38342673 0.4998369 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3688549368080203, 0.3648340667036791, -0.004024769913431935]","[1.1165249077866974, 1.2265004631408374, 0.10993959671836899]","[1.0, 0.9996747630274173, 0.9996477725550122]"
"[0.6390157361527856, 0.06929460176661871]","[0.39962181602067937, -0.25303617330077116]",[0.12628915 0.2028121  0.22376745],[0.32775325 0.13193635 0.19456488],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.010697109292550522, 0.20759504368811577, 0.19690061971160885]","[-0.029241198946238, 0.20920264762253282, 0.23844402458113384]","[1.0, 1.0000059731811057, 0.99992175028915]"
"[0.005811148645061752, 0.45797823529628456]","[0.010222004281674597, 0.6259135776289743]",[0.18384927 0.46198473 0.4923466 ],[0.366816   0.28606979 0.4764984 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.5656081834831639, 0.42500356374398507, -0.1406076330026634]","[0.1341789305220118, -0.0076067048767072265, -0.14175333133932638]","[1.0, 0.9998957620115223, 0.9999487819771509]"
"[0.3029621986931996, 0.5311669890721503]","[-0.8997834639814164, 0.32165938767124463]",[0.2463835  0.44302416 0.29937526],[0.32552318 0.12362494 0.48001962],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.26618635164345505, 0.1422000955647036, -0.12395202922179525]","[0.7352072624357788, 0.4467938139923717, -0.2883539846496855]","[1.0, 0.9997829252119261, 0.9998705267406117]"
"[0.4326972576195833, 0.14031497486288572]","[-0.3793029031707729, 0.5878217310278464]",[0.30169385 0.13784885 0.25161008],[0.23331437 0.17724714 0.29296099],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.09054339792646715, 0.22593238742206267, 0.13538147729983296]","[0.2727807617666258, -0.011033294805656624, -0.28378993783833834]","[1.0, 0.9999204869505085, 0.9999745184493367]"
"[0.6530985711855715, 0.278112624985316]","[0.33223990756965666, 0.18495996009493443]",[0.40845207 0.12480387 0.42838295],[0.27345941 0.21183365 0.21758366],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.052100489888971424, 0.17408760627927222, 0.22619327087212307]","[-0.06938725066311235, -0.018372324115262018, 0.05101712803844605]","[1.0, 1.0000238593833704, 0.9999828331799268]"
"[0.6519688759939255, 0.005862087367113784]","[0.5550203114988265, 0.09182981708909095]",[0.41311809 0.47701417 0.23992011],[0.27907244 0.40857327 0.31613483],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.21139486308425148, 0.34773472191136534, 0.13634391991020325]","[-0.022845124017749185, 0.10075564130602288, 0.123590610447547]","[1.0, 0.9999792884746386, 0.9999313470127845]"
"[0.44981777676474494, 0.5116047881786474]","[-0.5832112078657186, -0.31524502116074565]",[0.20658601 0.4333582  0.42033569],[0.11183048 0.27924661 0.3433326 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.20868673432642026, 0.1837398519708131, -0.02493806957034746]","[0.7946622140834734, 0.7266837507886521, -0.06796436156258791]","[1.0, 0.9997752497170226, 0.9997953625890406]"
"[0.16878870697962536, 0.18855361543025115]","[0.8134703970209327, -0.5466424443982262]",[0.21714081 0.43762682 0.4536143 ],[0.38261028 0.48477938 0.15565378],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.5176373507413246, 0.5163591472708049, -0.0012342847980269535]","[0.015051093123474857, 0.3587495279484756, 0.343675065678976]","[1.0, 0.9999315406901224, 0.9998457712738537]"
"[0.4170191756190211, 0.025141931030352116]","[0.5794025687749855, -0.027902699265778968]",[0.15562017 0.22668902 0.43497881],[0.26361435 0.18323289 0.18141573],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.2597535483307638, 0.4598028626321593, 0.20007054716753472]","[-0.19430328479711534, 0.007551401414730208, 0.2018400877504484]","[1.0, 1.0000161106082601, 0.9999406432909773]"
"[0.06880258282059924, 0.11975702188114502]","[0.834093550001633, -0.566879313799997]",[0.17796964 0.18221909 0.41903991],[0.45815774 0.41428505 0.15057473],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.425421203942733, 0.4873634821972246, 0.0619818630893743]","[-0.040656646023307985, 0.33847276034885, 0.3791061960083047]","[1.0, 0.999956992720425, 0.99985446453775]"
"[0.066578192294446, 0.5032124444779945]","[0.5722095945812103, -0.330176042726562]",[0.15477101 0.35235751 0.20817574],[0.40100672 0.25559396 0.45147269],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.34221245264143363, 0.1485909060816084, -0.1935818112778885]","[0.04952133384404078, 0.4156332398479208, 0.3661070787861651]","[1.0, 0.9999448462593711, 0.9998775179364063]"
"[0.05382235461412787, 0.5677536071235352]","[-0.6353324589441631, -0.44335313472969157]",[0.17182762 0.28451276 0.13791263],[0.39926492 0.21872011 0.23964461],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.2606146275923038, 0.04039788781301468, -0.22016370905620836]","[0.7972035162970315, 0.7401729716493719, -0.0570249173047135]","[1.0, 0.9997681228876287, 0.9998099104184621]"
"[0.28636719687760653, 0.039248811624562126]","[0.4233813529254303, -0.12655918136616556]",[0.4121957  0.19472024 0.26779569],[0.18359243 0.38125202 0.24210743],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.26510064701915326, 0.37183695162639196, 0.1067376903529655]","[0.09482984188025512, 0.2317827879410288, 0.13693935222240036]","[1.0, 0.9999431564395828, 0.9998955767314042]"
"[0.2542208921438748, 0.37347258783945]","[0.4219674131539367, -0.8112936405087081]",[0.30536338 0.24196112 0.30041317],[0.40007638 0.28236118 0.19269522],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.21751001551251647, 0.1972555960005593, -0.020243429537270572]","[0.24164650523698583, 0.6229057221266885, 0.38122630802165675]","[1.0, 0.9999123999139126, 0.9998196170275735]"
"[0.6145477399464965, 0.39811660240085484]","[-0.38494396443250817, -0.8966665538515174]",[0.38495696 0.29165513 0.45684803],[0.45411358 0.37172916 0.21446147],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.054409854262530644, 0.18165625462233947, 0.12720637927503098]","[0.8750355097090505, 0.9932202070085623, 0.11817022682160686]","[1.0, 0.9997744444784392, 0.999728991017133]"
"[0.4404214912915434, 0.09406310407868884]","[-0.6638275418603937, 0.9838498632653101]",[0.44575032 0.1443072  0.48175209],[0.21586238 0.44713486 0.37599852],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.18186213554690767, 0.4098215812393846, 0.2279360873929881]","[0.53815574775399, -0.034826660713406454, -0.5728873241348811]","[1.0, 0.9998427285338611, 0.9999574846718182]"
"[0.6253389746016869, 0.25306432128264067]","[0.522895069327133, -0.5644711102557478]",[0.2747092  0.10074352 0.12489412],[0.27178391 0.47480214 0.37944949],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[-0.1424345394757438, -0.010255699021854525, 0.1321483943574286]","[0.2826341692107235, 0.613344329978645, 0.33070205782888]","[1.0, 0.9999471482913579, 0.9998479490192125]"
"[0.0033932413819188715, 0.2656005165665819]","[-0.03811836850191636, -0.3475346585614865]",[0.407615   0.27256813 0.12476907],[0.28326592 0.44157916 0.3278234 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3825710368162163, 0.2458848055027829, -0.13665927569908698]","[0.5450268437189152, 0.6102535482937128, 0.06521845860772177]","[1.0, 0.999815922288059, 0.9998167011219342]"
"[0.1403579077644304, 0.08977194699168005]","[-0.44905817571465195, 0.7052761649180272]",[0.28617424 0.2604994  0.37595029],[0.34719254 0.3335054  0.47549312],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.42552497041492643, 0.4808872589978819, 0.0553360616620187]","[0.4452254720331439, 0.10773983556009625, -0.3374329295233318]","[1.0, 0.9998355042975695, 0.9999129598324754]"
"[0.1452872464710766, 0.1944522290155443]","[0.22524997919969278, 0.6080821437311554]",[0.31074055 0.24641696 0.35523131],[0.3053992  0.42990067 0.27478857],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.37102736648921564, 0.3909248463403401, 0.019880367045712187]","[0.025378962158356444, -0.15393500966138163, -0.1793063003254831]","[1.0, 0.9999472808515495, 0.9999896249880453]"
"[0.020859502741832004, 0.008021287321693573]","[-0.31152593082749364, 0.1550930913113007]",[0.19195477 0.10113772 0.26585503],[0.14760402 0.13904484 0.26008965],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.3894917717714179, 0.44868653405364967, 0.05918052923908871]","[0.3354496160218332, 0.22025042025143193, -0.11518720810722154]","[1.0, 0.9998674526616201, 0.9998888551605715]"
"[0.011975807865500544, 0.6789867086438613]","[0.0458559070566267, 0.21656992130125577]",[0.22775624 0.42271467 0.46045452],[0.49172508 0.27071073 0.3384402 ],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.4510134024412764, 0.24123921133218573, -0.2097554247640244]","[0.19058465755779253, 0.15623232688403732, -0.03433010197164639]","[1.0, 0.9998959811150131, 0.9999307878484552]"
"[0.14933451556789604, 0.44129920519194393]","[0.04363619213125932, -0.41403381999982614]",[0.35044392 0.33770678 0.13391811],[0.22268759 0.46150777 0.14135348],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.27316624586273974, 0.10789873559428997, -0.16524223201938723]","[0.46378177668475473, 0.5096247239480363, 0.04583777200806679]","[1.0, 0.9998499088283432, 0.9998591071516466]"
"[0.00014164266888365851, 0.13459883689287264]","[0.0734283363046016, -0.35148022591391714]",[0.47094203 0.4724914  0.41524742],[0.27250814 0.25426444 0.42298228],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.6585393712498444, 0.5946223091282263, -0.0638825367735481]","[0.37885938049885226, 0.5767658968861724, 0.19787897657631845]","[1.0, 0.9998229746116832, 0.9997814836684825]"
"[0.043300750581892956, 0.008367711734948907]","[-0.08057682682986796, 0.327424610657654]",[0.32126384 0.25542617 0.36925745],[0.46545027 0.22496439 0.30185327],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.5117468903727058, 0.5613478830932763, 0.04958397174658748]","[0.19525088255113587, 0.08487823333052802, -0.11036533648255832]","[1.0, 0.9998872242779381, 0.9999086203716218]"
"[0.20526834674406108, 0.03537555032294251]","[-0.2890388940677115, 0.018953144520375144]",[0.30705342 0.41613112 0.27669411],[0.20820804 0.28957625 0.45585541],"[0.05, 0.05, 0.05]","[0.1, 0.1, 0.1]","[0.47107479726673773, 0.48122813930513075, 0.010148969841761857]","[0.5315034658874538, 0.48425715042003503, -0.047237776682578475]","[1.0, 0.9998082411015462, 0.9998187839818244]"
